COD_DIS;DISTRITO;COD_BAR;BARRIO;UBICACIÓN;EMPLAZAMIE;INFO_ADICI;Nº_EQUIPO;CARACTERÍ;OPERADOR;HORARIO;GESTIÓN;POINT_X;POINT_Y
02;Arganzuela;1;Imperial;Calle Chulapos s/n;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;24;Convenio vía pública;438893,729999999981374;4473226,259999999776483
02;Arganzuela;6;Palos de Moguer;Ronda de Valencia 1;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;24;Convenio vía pública;440624,229999999981374;4473016,219999999739230
03;Retiro;2;Adelfas;Calle Cerro de la Plata 4;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;24;Convenio vía pública;442701,580000000016298;4472363,009999999776483
03;Retiro;5;Jerónimos;Calle Alfonso XII, 2;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;24;Convenio vía pública;441553,760000000009313;4474522,809999999590218
04;Salamanca;1;Recoletos;Calle Goya 36;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;24;Convenio vía pública;442227,270000000018626;4475141,530000000260770
04;Salamanca;2;Goya;Calle Goya 123;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;24;Convenio vía pública;443066,590000000025611;4475108,889999999664724
04;Salamanca;6;Castellana;Calle Castelló 105;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;24;Convenio vía pública;442261,150000000023283;4476262,440000000409782
04;Salamanca;4;Guindalera;Mercado de Guindalera. Plaza de San Cayetano, s/n;Mercado municipal;Mercado Municipal;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;24;Convenio cesión;443112,649900000018533;4476133,980000000447035
10;Latina;6;Cuatro Vientos;Calle Sinfonia, 9 (ES Ballenoil Aviación);Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;IBERDROLA;24;Convenio cesión;434058,489200000010896;4469583,390200000256300
19;Vicálvaro;2;Valdebernardo;Bulevar José Prat, 27A;Vía pública; ;3;2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.;IBERDROLA;24;Concesión demanial;447320,434200000017881;4472066,877700000070035
